artist,albums,tracks,bytes,in_active,active_tracks
Orb of Confusion,1,7,141524714,no,0
Order of the Wolf,5,7,29329429,no,0
Ov Shadows,1,7,40017815,no,0
Owl Vision,5,7,25098234,yes,1
Palaye Royale,4,7,21946510,no,0
Panzerwar,1,7,27131644,no,0
Parusía,1,7,39902190,no,0
Phanther,4,7,13898811,no,0
Propaganda & DJ Mal‐Ski,1,7,22769369,no,0
Prosper,1,7,32453680,no,0
Putrescine,2,7,28490352,no,0
Qoiet,4,7,32279678,no,0
Quiet Sun,1,7,46858281,no,0
R. Missing,6,7,24959660,no,0
Ramirez,3,7,25498647,no,0
Ray Charles,7,7,21208947,no,0
Ricky Martin,4,7,27377054,no,0
Robert Hood & Femi Kuti,1,7,71210305,no,0
"Röyksopp, Astrid S",6,7,32800654,no,0
SOTA,7,7,21710943,no,0
SUFFER RING,3,7,27378145,no,0
Sainte Marie des Loups,1,7,36050357,no,0
Sea Caves,2,7,23687846,no,0
Ship of Fools,1,7,57874550,no,0
Siberian Hell Sounds,1,7,26969535,no,0
Simple Plan,5,7,25280004,no,0
Skyfall Beats,6,7,18553046,yes,8
Somewhere Off Jazz Street,5,7,45493063,no,0
Spectral Temper,1,7,35965693,no,0
Stanton Warriors,6,7,34104609,no,0
State Of The Nation,2,7,25688899,no,0
Strongbow,1,7,41040500,no,0
Suit of Swords,1,7,15634097,no,0
"Tasadi, Nhato",3,7,42010861,no,0
Tech N9ne & HU$H,1,7,42949846,no,0
Teiji Ito,1,7,58613017,no,0
Tekki,4,7,12253955,no,0
That Handsome Devil,4,7,22779779,no,0
The 1865,1,7,13541893,no,0
The Birthday Massacre,4,7,28192063,no,0
The Front Bottoms,4,7,23794800,no,0
The Human Beast,1,7,34887787,no,0
The Lovecraft Sextet,5,7,38143352,no,0
The Moody Blues with the London Festival Orchestra conducted by Peter Knight,1,7,63051175,no,0
The Oozes,3,7,14569148,no,0
The Upbeats,5,7,30352983,no,0
Tokyo Tears,7,7,21392570,no,0
Umbersun,1,7,57681591,no,0
Underdark,4,7,43945923,no,0
Upgrade,7,7,26569428,no,0
Uthullun,1,7,38040287,no,0
Vidargängr,1,7,36159987,no,0
Vintertodt,1,7,28384832,no,0
Void Chapter,6,7,27604870,no,0
Wallows,5,7,18485574,no,0
Whipped Cream,6,7,20876425,no,0
White Ward,3,7,53899935,no,0
Whodini,5,7,31513909,no,0
Wilbur,1,7,20210142,no,0
Witching,1,7,38496067,no,0
Worsen,1,7,37038597,no,0
Zonaria,2,7,30258938,no,0
hemlocke springs,1,7,21976184,no,0
newban,1,7,29530701,no,0
toe,2,7,29974192,no,0
vowl_,6,7,20100901,no,0
ΛΔΛΜ,1,7,33205583,no,0
1782 _ Acid Mammoth,1,6,81254181,no,0
5 Seconds Of Summer,6,6,18356224,no,0
A Congregation of Horns,2,6,10268940,no,0
AC13,6,6,29781456,no,0
ACP,4,6,25595446,no,0
Acen,5,6,30160951,no,0
Ails,1,6,38286515,no,0
Alaskan,1,6,34306636,no,0
Alex G,4,6,16538843,no,0
Allie X,5,6,19855525,no,0
Alpha Rosa,5,6,19785666,no,0
Andracca,1,6,36286127,no,0
Anopheli,1,6,37342029,no,0
Anti-Freeze,3,6,30209615,no,0
Ari Lennox,1,6,19579206,no,0
Arête,1,6,36045682,no,0
Ashnikko feat. Princess Nokia,1,6,24919201,no,0
Aurelio Voltaire,2,6,26276231,no,0
Baby Guts,2,6,14634596,no,0
Banana Fish,1,6,15941990,no,0
Basement Jaxx,5,6,20457306,no,0
Beastie Boys feat. Santigold,1,6,21111930,no,0
Black Birch,6,6,32870373,no,0
Black Sun Empire,4,6,27384922,no,0
Blackbraid,1,6,34150468,no,0
BloodThinnerz,3,6,27219001,no,0
Blue Öyster Cult,6,6,27050051,no,0
Blvck Ceiling,6,6,17141748,no,0
"Bonobo, TEED",3,6,27889280,no,0
Boogie Times Tribe,2,6,36790708,no,0
Bosco Sacro,1,6,63262817,no,0
Cambrian,1,6,82699028,no,0
Capcom Sound Team,2,6,14893983,no,0
Capiroto,1,6,14742982,no,0
Carly Rae Jepsen,5,6,20558136,no,0
Carrion Bloom,1,6,26438747,no,0
Cepheide,2,6,64250122,no,0
Clann,2,6,29966215,no,0
Cloudyhead,1,6,28059385,no,0
Consumed With Hatred,1,6,11441054,no,0
Crevasse,1,6,18304545,no,0
Cypecore,3,6,29117082,no,0
Céline Dion,3,6,21543226,no,0
DEMONDICE,3,6,21660507,no,0
Dagoba,2,6,29348268,no,0
"Damien Quinn, Dark Half",3,6,14623256,no,0
Daryl Hall & John Oates,5,6,20029592,no,0
"David Bowie, Trevor Jones",1,6,23890721,no,0
Dead Melodies,2,6,38780898,no,0
Deathstench,1,6,44573286,no,0
"Die Spitz, Audiotree",1,6,17059664,no,0
Dillinja,3,6,27821421,no,0
"DnBot, Noted",6,6,20918376,no,0
Dodie,5,6,18473709,no,0
Drake,4,6,20296634,no,0
Dream Nails,2,6,11315659,no,0
Elias and the Error,1,6,24721258,no,0
EllaKindaExists,1,6,12646389,no,0
Evan Brewer,2,6,23676496,no,0
FINNEAS,3,6,19605852,no,0
Fear Of Domination,1,6,27966147,no,0
Felix Draeseke; Constanze Quartet,1,6,84355906,no,0
"Felix Mendelssohn, Max Bruch, Anne‐Sophie Mutter, Berliner Philharmoniker & Herbert von Karajan",1,6,114651464,no,0
"Felix Mendelssohn, Max Bruch; Midori, Berliner Philharmoniker, Mariss Jansons",1,6,103198666,no,0
Fit for an Autopsy _ Thy Art Is Murder _ Malevolence,1,6,25017379,no,0
"Flipper, Toni Bassi",1,6,28557621,no,0
GRLwood,2,6,15305808,no,0
Genital Shame,1,6,35179369,no,0
Gesaffelstein,2,6,23817844,yes,1
Girlpool,3,6,12688446,no,0
Glaring,4,6,20698707,no,0
Glemsel,1,6,44030663,no,0
Goo Munday,3,6,23361532,no,0
Gouki,4,6,23494557,no,0
Grim Reaper,1,6,41779463,no,0
Grizzly Bear,3,6,23112451,no,0
Gråt Strigoi,2,6,65510603,no,0
Gäa,1,6,44695107,no,0
Hedex,5,6,22259845,no,0
Hekseblad,3,6,26318074,no,0
Helms Alee _ Young Widows,1,6,19266812,no,0
Hypervenom,2,6,154303409,no,0
ITSOKTOCRY,4,6,12280307,no,0
Iffernet,1,6,35325582,no,0
Ild,1,6,42928159,no,0
Imanu,5,6,21596136,no,0
Ithaca,3,6,17175762,no,0
Itzhak Perlman,1,6,99513083,no,0
James Brown,5,6,14177502,no,0
Joe Hisaishi,4,6,17657839,no,0
Joe Iconis,1,6,21621764,no,0
Joji,4,6,15597481,no,0
Joshua Weresch,1,6,17259413,no,0
Jute Gyte,1,6,69118375,no,0
Jutrø,1,6,19021399,no,0
